# Drafted 2023-03-21, with some questionable autodrafting.
#
# Source: https://docs.google.com/spreadsheets/d/1P4u_MAgU0ku0CIkTIUdxMyHh9WbUH7R818lfmAPAWFM
#
Alex,6
Mookie,19
Austin,4
Bill,17
Darren,20
Daniel,22
Sangburm,12
Kyle,27
Kyle,31
Sangburm,7
Daniel,2
Darren,21
Bill,10
Austin,11
Mookie,28
Alex,1
Alex,23
Mookie,25
Austin,32
Bill,26
Darren,30
Daniel,5
Sangburm,8
Kyle,3
Kyle,14
Sangburm,29
Daniel,9
Darren,16
Bill,13
Austin,24
Mookie,18
Alex,15
