FF Midwest (G7),FF South (G6),FF East (G5),FF West (G4),Right Half (G3),Left Half (G2),Champion (G1),Probability,Sum of 2 Points,Sum of 2 Winner,Sum of 2 ID1+ID2,Best Bracket Points,Best Bracket Winner,Best Bracket ID,
Oregon St,Arkansas,Michigan,USC,Oregon St,USC,Oregon St,0.000723168,123,Mookie,6&19,62,Mookie,6,
Houston,Baylor,Michigan,USC,Houston,USC,Houston,0.00853275465,136,Daniel|Mookie,7&1|19&21,71,Daniel,7,
Oregon St,Baylor,Michigan,USC,Oregon St,USC,Oregon St,0.0011389895999999995,118,Mookie,6&19,62,Mookie,6,
Houston,Arkansas,UCLA,Gonzaga,Houston,Gonzaga,Houston,0.00783620325,152,Alex,20&28,83,Alex,20,
Oregon St,Arkansas,UCLA,Gonzaga,Oregon St,Gonzaga,Oregon St,0.0010596015000000005,127,Austin,17&5,70,Austin,17,
Houston,Baylor,UCLA,Gonzaga,Houston,Gonzaga,Houston,0.014888786175000003,157,Alex,20&28,83,Alex,20,
Oregon St,Baylor,UCLA,Gonzaga,Oregon St,Gonzaga,Oregon St,0.0016688723625000003,127,Sangburm,8&25,74,Alex,28,
Houston,Arkansas,Michigan,Gonzaga,Houston,Gonzaga,Houston,0.011680474500000003,152,Alex,20&28,83,Alex,20,
Oregon St,Arkansas,Michigan,Gonzaga,Oregon St,Gonzaga,Oregon St,0.0015794190000000007,127,Austin,17&5,70,Austin,17,
Houston,Baylor,Michigan,Gonzaga,Houston,Gonzaga,Houston,0.022192901549999998,157,Alex,20&28,83,Alex,20,
Oregon St,Baylor,Michigan,Gonzaga,Oregon St,Gonzaga,Oregon St,0.0024875849250000004,127,Sangburm,8&25,74,Alex,28,
Houston,Arkansas,UCLA,USC,Arkansas,UCLA,Arkansas,0.001282975,128,Austin,17&16,83,Austin,17,
Oregon St,Arkansas,UCLA,USC,Arkansas,UCLA,Arkansas,0.0007117875,123,Austin,17&16,78,Austin,17,
Houston,Baylor,UCLA,USC,Baylor,UCLA,Baylor,0.008352167249999999,136,Daniel,1&7,86,Daniel,1,
Oregon St,Baylor,UCLA,USC,Baylor,UCLA,Baylor,0.003936184875,126,Daniel,1&11,81,Daniel,1,
Houston,Arkansas,Michigan,USC,Arkansas,Michigan,Arkansas,0.002134009,141,Austin,17&16,83,Austin,17,
Oregon St,Arkansas,Michigan,USC,Arkansas,Michigan,Arkansas,0.0011839365000000004,136,Austin,17&16,78,Austin,17,
Houston,Baylor,Michigan,USC,Baylor,Michigan,Baylor,0.015005726699999998,144,Daniel,1&11,86,Daniel,1,
Oregon St,Baylor,Michigan,USC,Baylor,Michigan,Baylor,0.00707185485,139,Daniel,1&11,81,Daniel,1,
Houston,Arkansas,UCLA,Gonzaga,Arkansas,UCLA,Arkansas,0.0019764749999999997,137,Austin,17&5,88,Austin,17,
Oregon St,Arkansas,UCLA,Gonzaga,Arkansas,UCLA,Arkansas,0.0010965374999999998,132,Austin,17&5,83,Austin,17,
Houston,Baylor,UCLA,Gonzaga,Baylor,UCLA,Baylor,0.012866852249999996,136,Daniel,1&7,86,Daniel,1,
Oregon St,Baylor,UCLA,Gonzaga,Baylor,UCLA,Baylor,0.006063852374999998,127,Sangburm,8&25,81,Daniel,1,
Houston,Arkansas,Michigan,Gonzaga,Arkansas,Michigan,Arkansas,0.0036185370000000007,146,Austin,17&16,88,Austin,17,
Oregon St,Arkansas,Michigan,Gonzaga,Arkansas,Michigan,Arkansas,0.0020075445000000006,141,Austin,17&16,83,Austin,17,
Houston,Baylor,Michigan,Gonzaga,Baylor,Michigan,Baylor,0.025444493099999996,144,Daniel,1&11,86,Daniel,1,
Oregon St,Baylor,Michigan,Gonzaga,Baylor,Michigan,Baylor,0.011991406050000002,139,Daniel,1&11,81,Daniel,1,
Houston,Arkansas,UCLA,USC,Houston,UCLA,Houston,0.0023093549999999995,136,Daniel,7&1,76,Daniel,7,
Oregon St,Arkansas,UCLA,USC,Oregon St,UCLA,Oregon St,0.0003986010000000001,118,Mookie,6&19,62,Mookie,6,
Houston,Baylor,UCLA,USC,Houston,UCLA,Houston,0.004387774499999999,136,Daniel,7&1,71,Daniel,7,
Oregon St,Baylor,UCLA,USC,Oregon St,UCLA,Oregon St,0.000627796575,115,Alex,28&13,62,Mookie,6,
Houston,Arkansas,Michigan,USC,Houston,Michigan,Houston,0.004059821999999999,136,Daniel|Mookie,7&1|19&21,76,Daniel,7,
Oregon St,Arkansas,Michigan,USC,Oregon St,Michigan,Oregon St,0.000654534,123,Mookie,6&19,62,Mookie,6,
Houston,Baylor,Michigan,USC,Houston,Michigan,Houston,0.0077136617999999995,136,Daniel|Mookie,7&1|19&21,71,Daniel,7,
Oregon St,Baylor,Michigan,USC,Oregon St,Michigan,Oregon St,0.0010308910499999997,118,Daniel|Mookie,1&11|6&19,62,Mookie,6,
Houston,Arkansas,UCLA,Gonzaga,Houston,UCLA,Houston,0.0035576549999999985,136,Daniel,7&1,76,Daniel,7,
Oregon St,Arkansas,UCLA,Gonzaga,Oregon St,UCLA,Oregon St,0.000614061,118,Mookie,6&19,62,Mookie|Austin,6|17,
Houston,Baylor,UCLA,Gonzaga,Houston,UCLA,Houston,0.006759544499999998,136,Daniel|Alex,7&1|20&28,71,Daniel,7,
Oregon St,Baylor,UCLA,Gonzaga,Oregon St,UCLA,Oregon St,0.0009671460749999997,119,Sangburm,25&8,66,Alex,28,
Houston,Arkansas,Michigan,Gonzaga,Houston,Michigan,Houston,0.006884046000000001,136,Daniel|Mookie,7&1|19&21,76,Daniel,7,
Oregon St,Arkansas,Michigan,Gonzaga,Oregon St,Michigan,Oregon St,0.0011098620000000003,123,Mookie,6&19,62,Mookie|Austin,6|17,
Houston,Baylor,Michigan,Gonzaga,Houston,Michigan,Houston,0.0130796874,136,Daniel|Alex|Mookie,7&1|20&28|19&21,71,Daniel,7,
Oregon St,Baylor,Michigan,Gonzaga,Oregon St,Michigan,Oregon St,0.0017480326499999996,119,Sangburm,25&8,66,Alex,28,
